full_name,stargazers_count,description,html_url,type
kubernetes/kubernetes,87109,Production-Grade Container Scheduling and Management,https://github.com/kubernetes/kubernetes,cloud
moby/moby,62716,Moby Project - a collaborative project for the container ecosystem to assemble container-based systems,https://github.com/moby/moby,cloud
netdata/netdata,58686,"Real-time performance monitoring, done right! https://www.netdata.cloud",https://github.com/netdata/netdata,cloud
reduxjs/redux,57803,Predictable state container for JavaScript apps,https://github.com/reduxjs/redux,cloud
localstack/localstack,39417,💻  A fully functional local AWS cloud stack. Develop and test your cloud & Serverless apps offline!,https://github.com/localstack/localstack,cloud
Kong/kong,31597,🦍 The Cloud-Native API Gateway ,https://github.com/Kong/kong,cloud
docker/compose,25393,Define and run multi-container applications with Docker,https://github.com/docker/compose,cloud
trailofbits/algo,25306,Set up a personal VPN in the cloud,https://github.com/trailofbits/algo,cloud
harness/drone,24766,"Drone is a Container-Native, Continuous Delivery Platform",https://github.com/harness/drone,cloud
ajaxorg/ace,24270,Ace (Ajax.org Cloud9 Editor),https://github.com/ajaxorg/ace,cloud
sickcodes/Docker-OSX,22113,Run macOS VM in a Docker! Run near native OSX-KVM in Docker! X11 Forwarding! CI/CD for OS X Security Research! Docker mac Containers.,https://github.com/sickcodes/Docker-OSX,cloud
dotnet-architecture/eShopOnContainers,20222,"Cross-platform .NET sample microservices and container based application that runs on Linux Windows and macOS. Powered by .NET 6, Docker Containers and Azure Kubernetes Services. Supports Visual Studio, VS for Mac and CLI based environments with Docker CLI, dotnet CLI, VS Code or any other code editor.",https://github.com/dotnet-architecture/eShopOnContainers,cloud
yeasy/docker_practice,20249,"Learn and understand Docker&Container technologies, with real DevOps practice!",https://github.com/yeasy/docker_practice,cloud
envoyproxy/envoy,19290,Cloud-native high-performance edge/middle/service proxy,https://github.com/envoyproxy/envoy,cloud
rancher/rancher,18846,Complete container management platform,https://github.com/rancher/rancher,cloud
dapr/dapr,17468,"Dapr is a portable, event-driven, runtime for building distributed applications across cloud and edge.",https://github.com/dapr/dapr,cloud
nginx-proxy/nginx-proxy,15886,Automated nginx proxy for Docker containers using docker-gen,https://github.com/nginx-proxy/nginx-proxy,cloud
NVIDIA/nvidia-docker,14382,Build and run Docker containers leveraging NVIDIA GPUs,https://github.com/NVIDIA/nvidia-docker,cloud
jina-ai/jina,14196,Cloud-native neural search framework for 𝙖𝙣𝙮 kind of data,https://github.com/jina-ai/jina,cloud
chrislusf/seaweedfs,14153,"SeaweedFS is a fast distributed storage system for blobs, objects, files, and data lake, for billions of files! Blob store has O(1) disk seek, cloud tiering. Filer supports Cloud Drive, cross-DC active-active replication, Kubernetes, POSIX FUSE mount, S3 API, S3 Gateway, Hadoop, WebDAV, encryption, Erasure Coding.",https://github.com/chrislusf/seaweedfs,cloud
containers/podman,13284,Podman: A tool for managing OCI containers and pods.,https://github.com/containers/podman,cloud
google/cadvisor,13262,Analyzes resource usage and performance characteristics of running containers.,https://github.com/google/cadvisor,cloud
docker-slim/docker-slim,13101,DockerSlim (docker-slim): Don't change anything in your Docker container image and minify it by up to 30x (and for compiled languages even more) making it secure too! (free and open source),https://github.com/docker-slim/docker-slim,cloud
google/gvisor,12571,Application Kernel for Containers,https://github.com/google/gvisor,cloud
bcicen/ctop,12594,Top-like interface for container metrics,https://github.com/bcicen/ctop,cloud
ory/hydra,12380,"OpenID Certified™ OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API security for your infrastructure. SDKs for any language. Works with Hardware Security Modules. Compatible with MITREid.",https://github.com/ory/hydra,cloud
